"analysis","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Non-alcoholic fatty liver disease NAFLD","enriched",0.0343502,28,"hsa-miR-662 (#40, z=2.169); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-146b-3p (#262, z=1.263); hsa-miR-221-3p (#278, z=1.238); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-29c-3p (#476, z=0.939); hsa-miR-365a-3p (#615, z=0.748); hsa-miR-3173-5p (#704, z=0.684); hsa-miR-138-5p (#733, z=0.655); hsa-miR-7-5p (#745, z=0.642); hsa-miR-125b-5p (#865, z=0.541); hsa-miR-21-5p (#905, z=0.500); hsa-miR-187-3p (#990, z=0.462); hsa-miR-146a-5p (#1010, z=0.439); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-451a (#1375, z=0.116); hsa-miR-148a-3p (#1311, z=-0.182); hsa-miR-30c-5p (#1295, z=-0.203); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-224-5p (#1078, z=-0.371); hsa-miR-199a-5p (#1075, z=-0.374); hsa-miR-19a-3p (#886, z=-0.525); hsa-miR-127-3p (#582, z=-0.799); hsa-miR-208b-3p (#430, z=-1.010); hsa-miR-574-3p (#311, z=-1.229); hsa-miR-892b (#251, z=-1.282)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Cysteine and methionine metabolism","enriched",0.0428833,13,"hsa-miR-29c-5p (#377, z=1.086); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-193b-3p (#690, z=0.700); hsa-miR-6732-3p (#959, z=0.474); hsa-miR-340-5p (#1225, z=0.234); hsa-miR-200b-3p (#1229, z=0.231); hsa-miR-6740-5p (#1263, z=0.224); hsa-miR-5585-5p (#1385, z=0.110); hsa-miR-200c-3p (#1502, z=0.080); hsa-miR-29b-1-5p (#1517, z=0.068); hsa-miR-1298-3p (#1884, z=0.004); hsa-miR-369-5p (#379, z=-1.085)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Circadian entrainment","enriched",0.0540425,11,"hsa-miR-6821-5p (#11, z=2.422); hsa-miR-585-3p (#32, z=2.169); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-6786-3p (#197, z=1.435); hsa-miR-1-3p (#856, z=0.560); hsa-miR-550a-3p (#867, z=0.539); hsa-miR-219b-5p (#910, z=0.493); hsa-miR-664a-3p (#991, z=0.462); hsa-miR-1268b (#2366, z=-0.000); hsa-miR-9-3p (#1587, z=-0.018); hsa-miR-1268a (#1207, z=-0.247)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Ras signaling pathway","enriched",0.0823541,68,"hsa-miR-585-3p (#32, z=2.169); hsa-miR-1909-3p (#37, z=2.169); hsa-miR-363-5p (#125, z=1.662); hsa-miR-133b (#163, z=1.548); hsa-miR-146b-5p (#166, z=1.530); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-518b (#190, z=1.435); hsa-miR-221-3p (#278, z=1.238); hsa-miR-887-3p (#354, z=1.118); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-29c-3p (#476, z=0.939); hsa-miR-185-5p (#613, z=0.750); hsa-miR-365a-3p (#615, z=0.748); hsa-miR-378a-3p (#675, z=0.715); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-16-1-3p (#724, z=0.662); hsa-miR-7-5p (#745, z=0.642); hsa-miR-1-3p (#856, z=0.560); hsa-miR-125b-5p (#865, z=0.541); hsa-miR-6745 (#978, z=0.474); hsa-miR-488-5p (#1023, z=0.429); hsa-miR-429 (#1087, z=0.357); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-184 (#1184, z=0.275); hsa-miR-483-3p (#1188, z=0.268); hsa-miR-200b-3p (#1229, z=0.231); hsa-miR-708-3p (#1243, z=0.226); hsa-miR-424-5p (#1286, z=0.217); hsa-miR-433-3p (#1314, z=0.180); hsa-miR-152-3p (#1342, z=0.155); hsa-miR-27b-3p (#1374, z=0.118); hsa-miR-451a (#1375, z=0.116); hsa-miR-200c-3p (#1502, z=0.080); hsa-miR-497-5p (#1566, z=0.041); hsa-miR-296-5p (#1573, z=0.033); hsa-miR-503-5p (#1599, z=0.007); hsa-miR-518f-3p (#1602, z=0.004); hsa-miR-525-5p (#1606, z=0.004); hsa-miR-520a-5p (#1789, z=0.004); hsa-miR-203a-5p (#1966, z=0.004); hsa-miR-6722-3p (#2098, z=0.004); hsa-miR-6770-3p (#2104, z=0.004); hsa-miR-1268b (#2366, z=-0.000); hsa-miR-132-3p (#1572, z=-0.035); hsa-miR-499a-5p (#1367, z=-0.124); hsa-miR-101-3p (#1309, z=-0.186); hsa-miR-27a-3p (#1302, z=-0.194); hsa-miR-1268a (#1207, z=-0.247); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-143-3p (#1139, z=-0.314); hsa-miR-140-5p (#1137, z=-0.316); hsa-miR-224-5p (#1078, z=-0.371); hsa-miR-199a-5p (#1075, z=-0.374); hsa-miR-139-5p (#1060, z=-0.388); hsa-miR-124-3p (#1000, z=-0.449); hsa-miR-206 (#999, z=-0.451); hsa-miR-133a-3p (#996, z=-0.456); hsa-miR-2278 (#929, z=-0.489); hsa-miR-145-5p (#927, z=-0.490); hsa-miR-23b-3p (#912, z=-0.492); hsa-miR-19a-3p (#886, z=-0.525); hsa-miR-6870-3p (#747, z=-0.640); hsa-miR-195-5p (#710, z=-0.679); hsa-miR-582-5p (#313, z=-1.221); hsa-miR-199a-3p (#182, z=-1.495); hsa-miR-490-5p (#55, z=-2.030)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Adrenergic signaling in cardiomyocytes","enriched",0.0985464,28,"hsa-miR-585-3p (#32, z=2.169); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-6786-3p (#197, z=1.435); hsa-miR-6503-3p (#270, z=1.251); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-185-5p (#613, z=0.750); hsa-miR-365a-3p (#615, z=0.748); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-7-5p (#745, z=0.642); hsa-miR-204-5p (#758, z=0.625); hsa-miR-1-3p (#856, z=0.560); hsa-miR-550a-3p (#867, z=0.539); hsa-miR-219b-5p (#910, z=0.493); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-184 (#1184, z=0.275); hsa-miR-451a (#1375, z=0.116); hsa-miR-3134 (#1973, z=0.004); hsa-miR-466 (#2283, z=-0.002); hsa-miR-10b-5p (#1395, z=-0.099); hsa-miR-1268a (#1207, z=-0.247); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-143-3p (#1139, z=-0.314); hsa-miR-206 (#999, z=-0.451); hsa-miR-19a-3p (#886, z=-0.525); hsa-miR-941 (#742, z=-0.645); hsa-miR-668-3p (#459, z=-0.968); hsa-miR-494-3p (#368, z=-1.093)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Tuberculosis","enriched",0.1118119,24,"hsa-miR-146b-5p (#166, z=1.530); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-221-3p (#278, z=1.238); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-185-5p (#613, z=0.750); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-7-5p (#745, z=0.642); hsa-miR-204-5p (#758, z=0.625); hsa-miR-125b-5p (#865, z=0.541); hsa-miR-21-5p (#905, z=0.500); hsa-miR-146a-5p (#1010, z=0.439); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-184 (#1184, z=0.275); hsa-miR-451a (#1375, z=0.116); hsa-miR-2861 (#1968, z=0.004); hsa-miR-3134 (#1973, z=0.004); hsa-miR-9-3p (#1587, z=-0.018); hsa-miR-135a-5p (#1571, z=-0.036); hsa-miR-155-5p (#1313, z=-0.181); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-143-3p (#1139, z=-0.314); hsa-miR-668-3p (#459, z=-0.968); hsa-miR-574-3p (#311, z=-1.229)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Alcoholism","enriched",0.121298,41,"hsa-miR-585-3p (#32, z=2.169); hsa-miR-6748-5p (#33, z=2.169); hsa-miR-363-5p (#125, z=1.662); hsa-miR-760 (#132, z=1.658); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-6786-3p (#197, z=1.435); hsa-miR-6766-5p (#220, z=1.414); hsa-miR-6728-5p (#406, z=1.058); hsa-miR-22-3p (#465, z=0.959); hsa-miR-100-5p (#491, z=0.917); hsa-miR-598-3p (#700, z=0.686); hsa-miR-1261 (#729, z=0.657); hsa-miR-1-3p (#856, z=0.560); hsa-miR-550a-3p (#867, z=0.539); hsa-miR-219b-5p (#910, z=0.493); hsa-miR-425-3p (#936, z=0.484); hsa-miR-6745 (#978, z=0.474); hsa-let-7c-3p (#1049, z=0.401); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-98-5p (#1150, z=0.300); hsa-miR-4758-5p (#1211, z=0.245); hsa-miR-652-3p (#1299, z=0.194); hsa-miR-27b-3p (#1374, z=0.118); hsa-miR-6759-5p (#1486, z=0.091); hsa-miR-1276 (#1523, z=0.061); hsa-miR-6756-5p (#1831, z=0.004); hsa-miR-1238-5p (#1882, z=0.004); hsa-miR-1293 (#1954, z=0.004); hsa-miR-520g-5p (#2063, z=0.004); hsa-miR-613 (#2087, z=0.004); hsa-miR-6793-5p (#2297, z=-0.002); hsa-miR-4483 (#2205, z=-0.003); hsa-miR-9-3p (#1587, z=-0.018); hsa-miR-299-5p (#1501, z=-0.080); hsa-miR-27a-3p (#1302, z=-0.194); hsa-miR-4507 (#1009, z=-0.441); hsa-miR-206 (#999, z=-0.451); hsa-miR-18b-3p (#930, z=-0.489); hsa-miR-145-5p (#927, z=-0.490); hsa-miR-4766-5p (#923, z=-0.491); hsa-miR-629-5p (#478, z=-0.934)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Apoptosis","enriched",0.1421226,46,"hsa-miR-24-2-5p (#6, z=2.590); hsa-miR-96-5p (#101, z=1.732); hsa-miR-133b (#163, z=1.548); hsa-miR-146b-5p (#166, z=1.530); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-223-3p (#236, z=1.353); hsa-miR-887-3p (#354, z=1.118); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-22-3p (#465, z=0.959); hsa-miR-365a-3p (#615, z=0.748); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-7-5p (#745, z=0.642); hsa-miR-204-5p (#758, z=0.625); hsa-miR-125b-5p (#865, z=0.541); hsa-miR-21-5p (#905, z=0.500); hsa-miR-146a-5p (#1010, z=0.439); hsa-miR-30a-5p (#1063, z=0.385); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-184 (#1184, z=0.275); hsa-miR-151a-5p (#1187, z=0.268); hsa-miR-30e-5p (#1215, z=0.245); hsa-miR-451a (#1375, z=0.116); hsa-miR-503-5p (#1599, z=0.007); hsa-miR-2392 (#1889, z=0.004); hsa-miR-4478 (#1899, z=0.004); hsa-miR-2861 (#1968, z=0.004); hsa-miR-1233-5p (#2337, z=-0.002); hsa-miR-5587-3p (#2232, z=-0.002); hsa-miR-708-5p (#1600, z=-0.006); hsa-miR-10b-5p (#1395, z=-0.099); hsa-miR-155-5p (#1313, z=-0.181); hsa-miR-30c-5p (#1295, z=-0.203); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-143-3p (#1139, z=-0.314); hsa-miR-106b-5p (#1088, z=-0.356); hsa-miR-139-5p (#1060, z=-0.388); hsa-miR-30d-5p (#1031, z=-0.419); hsa-miR-19a-3p (#886, z=-0.525); hsa-miR-150-3p (#699, z=-0.687); hsa-miR-106a-5p (#651, z=-0.735); hsa-miR-376c-3p (#600, z=-0.760); hsa-miR-92a-1-5p (#492, z=-0.916); hsa-miR-494-3p (#368, z=-1.093); hsa-miR-17-5p (#268, z=-1.255)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Herpes simplex infection","enriched",0.1698028,19,"hsa-miR-223-3p (#236, z=1.353); hsa-miR-887-3p (#354, z=1.118); hsa-miR-450a-5p (#384, z=1.079); hsa-miR-935 (#544, z=0.863); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-21-5p (#905, z=0.500); hsa-miR-146a-5p (#1010, z=0.439); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-98-5p (#1150, z=0.300); hsa-miR-152-3p (#1342, z=0.155); hsa-miR-451a (#1375, z=0.116); hsa-miR-155-5p (#1313, z=-0.181); hsa-miR-30c-5p (#1295, z=-0.203); hsa-miR-107 (#1228, z=-0.232); hsa-miR-139-5p (#1060, z=-0.388); hsa-miR-30d-5p (#1031, z=-0.419); hsa-miR-381-5p (#154, z=-1.594); hsa-miR-15b-5p (#109, z=-1.673)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Toll-like receptor signaling pathway","enriched",0.1736762,29,"hsa-miR-146b-5p (#166, z=1.530); hsa-miR-196b-5p (#185, z=1.484); hsa-miR-223-3p (#236, z=1.353); hsa-miR-887-3p (#354, z=1.118); hsa-miR-29b-3p (#411, z=1.047); hsa-miR-29a-3p (#435, z=0.999); hsa-miR-365a-3p (#615, z=0.748); hsa-miR-542-3p (#672, z=0.718); hsa-miR-125a-5p (#683, z=0.706); hsa-miR-7-5p (#745, z=0.642); hsa-miR-550a-3p (#867, z=0.539); hsa-miR-21-5p (#905, z=0.500); hsa-miR-146a-5p (#1010, z=0.439); hsa-miR-203a-3p (#1110, z=0.346); hsa-miR-34a-5p (#1138, z=0.315); hsa-miR-451a (#1375, z=0.116); hsa-miR-503-5p (#1599, z=0.007); hsa-miR-3134 (#1973, z=0.004); hsa-miR-708-5p (#1600, z=-0.006); hsa-miR-9-3p (#1587, z=-0.018); hsa-miR-625-3p (#1368, z=-0.123); hsa-miR-155-5p (#1313, z=-0.181); hsa-miR-126-3p (#1196, z=-0.264); hsa-miR-143-3p (#1139, z=-0.314); hsa-miR-139-5p (#1060, z=-0.388); hsa-miR-145-5p (#927, z=-0.490); hsa-miR-19a-3p (#886, z=-0.525); hsa-miR-668-3p (#459, z=-0.968); hsa-miR-381-5p (#154, z=-1.594)"
