"analysis","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Non-alcoholic fatty liver disease NAFLD","enriched",0.0343502,28,"hsa-miR-662 (#38, z=2.169); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-146b-3p (#183, z=1.263); hsa-miR-221-3p (#190, z=1.238); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-29c-3p (#295, z=0.939); hsa-miR-365a-3p (#370, z=0.748); hsa-miR-3173-5p (#421, z=0.684); hsa-miR-138-5p (#438, z=0.655); hsa-miR-7-5p (#441, z=0.642); hsa-miR-125b-5p (#520, z=0.541); hsa-miR-21-5p (#539, z=0.500); hsa-miR-187-3p (#586, z=0.462); hsa-miR-146a-5p (#596, z=0.439); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-451a (#785, z=0.116); hsa-miR-148a-3p (#1811, z=-0.182); hsa-miR-30c-5p (#1820, z=-0.203); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-224-5p (#1914, z=-0.371); hsa-miR-199a-5p (#1916, z=-0.374); hsa-miR-19a-3p (#2012, z=-0.525); hsa-miR-127-3p (#2140, z=-0.799); hsa-miR-208b-3p (#2213, z=-1.010); hsa-miR-574-3p (#2276, z=-1.229); hsa-miR-892b (#2296, z=-1.282)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Cysteine and methionine metabolism","enriched",0.0428833,13,"hsa-miR-29c-5p (#245, z=1.086); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-193b-3p (#415, z=0.700); hsa-miR-6732-3p (#560, z=0.474); hsa-miR-340-5p (#699, z=0.234); hsa-miR-200b-3p (#700, z=0.231); hsa-miR-6740-5p (#723, z=0.224); hsa-miR-5585-5p (#790, z=0.110); hsa-miR-200c-3p (#892, z=0.080); hsa-miR-29b-1-5p (#901, z=0.068); hsa-miR-1298-3p (#1222, z=0.004); hsa-miR-369-5p (#2234, z=-1.085)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Circadian entrainment","enriched",0.0540425,11,"hsa-miR-6821-5p (#11, z=2.422); hsa-miR-585-3p (#30, z=2.169); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-6786-3p (#149, z=1.435); hsa-miR-1-3p (#516, z=0.560); hsa-miR-550a-3p (#522, z=0.539); hsa-miR-219b-5p (#540, z=0.493); hsa-miR-664a-3p (#587, z=0.462); hsa-miR-1268b (#1504, z=-0.000); hsa-miR-9-3p (#1712, z=-0.018); hsa-miR-1268a (#1847, z=-0.247)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Ras signaling pathway","enriched",0.0823541,68,"hsa-miR-585-3p (#30, z=2.169); hsa-miR-1909-3p (#35, z=2.169); hsa-miR-363-5p (#102, z=1.662); hsa-miR-133b (#129, z=1.548); hsa-miR-146b-5p (#130, z=1.530); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-518b (#142, z=1.435); hsa-miR-221-3p (#190, z=1.238); hsa-miR-887-3p (#235, z=1.118); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-29c-3p (#295, z=0.939); hsa-miR-185-5p (#369, z=0.750); hsa-miR-365a-3p (#370, z=0.748); hsa-miR-378a-3p (#406, z=0.715); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-16-1-3p (#432, z=0.662); hsa-miR-7-5p (#441, z=0.642); hsa-miR-1-3p (#516, z=0.560); hsa-miR-125b-5p (#520, z=0.541); hsa-miR-6745 (#579, z=0.474); hsa-miR-488-5p (#602, z=0.429); hsa-miR-429 (#629, z=0.357); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-184 (#678, z=0.275); hsa-miR-483-3p (#680, z=0.268); hsa-miR-200b-3p (#700, z=0.231); hsa-miR-708-3p (#704, z=0.226); hsa-miR-424-5p (#743, z=0.217); hsa-miR-433-3p (#755, z=0.180); hsa-miR-152-3p (#766, z=0.155); hsa-miR-27b-3p (#784, z=0.118); hsa-miR-451a (#785, z=0.116); hsa-miR-200c-3p (#892, z=0.080); hsa-miR-497-5p (#920, z=0.041); hsa-miR-296-5p (#923, z=0.033); hsa-miR-503-5p (#939, z=0.007); hsa-miR-518f-3p (#940, z=0.004); hsa-miR-525-5p (#944, z=0.004); hsa-miR-520a-5p (#1127, z=0.004); hsa-miR-203a-5p (#1304, z=0.004); hsa-miR-6722-3p (#1436, z=0.004); hsa-miR-6770-3p (#1442, z=0.004); hsa-miR-1268b (#1504, z=-0.000); hsa-miR-132-3p (#1718, z=-0.035); hsa-miR-499a-5p (#1782, z=-0.124); hsa-miR-101-3p (#1812, z=-0.186); hsa-miR-27a-3p (#1816, z=-0.194); hsa-miR-1268a (#1847, z=-0.247); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-143-3p (#1887, z=-0.314); hsa-miR-140-5p (#1888, z=-0.316); hsa-miR-224-5p (#1914, z=-0.371); hsa-miR-199a-5p (#1916, z=-0.374); hsa-miR-139-5p (#1923, z=-0.388); hsa-miR-124-3p (#1958, z=-0.449); hsa-miR-206 (#1959, z=-0.451); hsa-miR-133a-3p (#1961, z=-0.456); hsa-miR-2278 (#1980, z=-0.489); hsa-miR-145-5p (#1982, z=-0.490); hsa-miR-23b-3p (#1997, z=-0.492); hsa-miR-19a-3p (#2012, z=-0.525); hsa-miR-6870-3p (#2063, z=-0.640); hsa-miR-195-5p (#2084, z=-0.679); hsa-miR-582-5p (#2274, z=-1.221); hsa-miR-199a-3p (#2324, z=-1.495); hsa-miR-490-5p (#2364, z=-2.030)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Adrenergic signaling in cardiomyocytes","enriched",0.0985464,28,"hsa-miR-585-3p (#30, z=2.169); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-6786-3p (#149, z=1.435); hsa-miR-6503-3p (#185, z=1.251); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-185-5p (#369, z=0.750); hsa-miR-365a-3p (#370, z=0.748); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-7-5p (#441, z=0.642); hsa-miR-204-5p (#446, z=0.625); hsa-miR-1-3p (#516, z=0.560); hsa-miR-550a-3p (#522, z=0.539); hsa-miR-219b-5p (#540, z=0.493); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-184 (#678, z=0.275); hsa-miR-451a (#785, z=0.116); hsa-miR-3134 (#1311, z=0.004); hsa-miR-466 (#1604, z=-0.002); hsa-miR-10b-5p (#1768, z=-0.099); hsa-miR-1268a (#1847, z=-0.247); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-143-3p (#1887, z=-0.314); hsa-miR-206 (#1959, z=-0.451); hsa-miR-19a-3p (#2012, z=-0.525); hsa-miR-941 (#2065, z=-0.645); hsa-miR-668-3p (#2195, z=-0.968); hsa-miR-494-3p (#2239, z=-1.093)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Tuberculosis","enriched",0.1118119,24,"hsa-miR-146b-5p (#130, z=1.530); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-221-3p (#190, z=1.238); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-185-5p (#369, z=0.750); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-7-5p (#441, z=0.642); hsa-miR-204-5p (#446, z=0.625); hsa-miR-125b-5p (#520, z=0.541); hsa-miR-21-5p (#539, z=0.500); hsa-miR-146a-5p (#596, z=0.439); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-184 (#678, z=0.275); hsa-miR-451a (#785, z=0.116); hsa-miR-2861 (#1306, z=0.004); hsa-miR-3134 (#1311, z=0.004); hsa-miR-9-3p (#1712, z=-0.018); hsa-miR-135a-5p (#1719, z=-0.036); hsa-miR-155-5p (#1809, z=-0.181); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-143-3p (#1887, z=-0.314); hsa-miR-668-3p (#2195, z=-0.968); hsa-miR-574-3p (#2276, z=-1.229)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Alcoholism","enriched",0.121298,41,"hsa-miR-585-3p (#30, z=2.169); hsa-miR-6748-5p (#31, z=2.169); hsa-miR-363-5p (#102, z=1.662); hsa-miR-760 (#108, z=1.658); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-6786-3p (#149, z=1.435); hsa-miR-6766-5p (#164, z=1.414); hsa-miR-6728-5p (#265, z=1.058); hsa-miR-22-3p (#289, z=0.959); hsa-miR-100-5p (#300, z=0.917); hsa-miR-598-3p (#419, z=0.686); hsa-miR-1261 (#436, z=0.657); hsa-miR-1-3p (#516, z=0.560); hsa-miR-550a-3p (#522, z=0.539); hsa-miR-219b-5p (#540, z=0.493); hsa-miR-425-3p (#543, z=0.484); hsa-miR-6745 (#579, z=0.474); hsa-let-7c-3p (#611, z=0.401); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-98-5p (#663, z=0.300); hsa-miR-4758-5p (#689, z=0.245); hsa-miR-652-3p (#749, z=0.194); hsa-miR-27b-3p (#784, z=0.118); hsa-miR-6759-5p (#867, z=0.091); hsa-miR-1276 (#906, z=0.061); hsa-miR-6756-5p (#1169, z=0.004); hsa-miR-1238-5p (#1220, z=0.004); hsa-miR-1293 (#1292, z=0.004); hsa-miR-520g-5p (#1401, z=0.004); hsa-miR-613 (#1425, z=0.004); hsa-miR-6793-5p (#1558, z=-0.002); hsa-miR-4483 (#1672, z=-0.003); hsa-miR-9-3p (#1712, z=-0.018); hsa-miR-299-5p (#1758, z=-0.080); hsa-miR-27a-3p (#1816, z=-0.194); hsa-miR-4507 (#1954, z=-0.441); hsa-miR-206 (#1959, z=-0.451); hsa-miR-18b-3p (#1981, z=-0.489); hsa-miR-145-5p (#1982, z=-0.490); hsa-miR-4766-5p (#1994, z=-0.491); hsa-miR-629-5p (#2186, z=-0.934)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Apoptosis","enriched",0.1421226,46,"hsa-miR-24-2-5p (#6, z=2.590); hsa-miR-96-5p (#84, z=1.732); hsa-miR-133b (#129, z=1.548); hsa-miR-146b-5p (#130, z=1.530); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-223-3p (#173, z=1.353); hsa-miR-887-3p (#235, z=1.118); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-22-3p (#289, z=0.959); hsa-miR-365a-3p (#370, z=0.748); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-7-5p (#441, z=0.642); hsa-miR-204-5p (#446, z=0.625); hsa-miR-125b-5p (#520, z=0.541); hsa-miR-21-5p (#539, z=0.500); hsa-miR-146a-5p (#596, z=0.439); hsa-miR-30a-5p (#617, z=0.385); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-184 (#678, z=0.275); hsa-miR-151a-5p (#679, z=0.268); hsa-miR-30e-5p (#692, z=0.245); hsa-miR-451a (#785, z=0.116); hsa-miR-503-5p (#939, z=0.007); hsa-miR-2392 (#1227, z=0.004); hsa-miR-4478 (#1237, z=0.004); hsa-miR-2861 (#1306, z=0.004); hsa-miR-1233-5p (#1519, z=-0.002); hsa-miR-5587-3p (#1632, z=-0.002); hsa-miR-708-5p (#1707, z=-0.006); hsa-miR-10b-5p (#1768, z=-0.099); hsa-miR-155-5p (#1809, z=-0.181); hsa-miR-30c-5p (#1820, z=-0.203); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-143-3p (#1887, z=-0.314); hsa-miR-106b-5p (#1909, z=-0.356); hsa-miR-139-5p (#1923, z=-0.388); hsa-miR-30d-5p (#1941, z=-0.419); hsa-miR-19a-3p (#2012, z=-0.525); hsa-miR-150-3p (#2087, z=-0.687); hsa-miR-106a-5p (#2115, z=-0.735); hsa-miR-376c-3p (#2129, z=-0.760); hsa-miR-92a-1-5p (#2176, z=-0.916); hsa-miR-494-3p (#2239, z=-1.093); hsa-miR-17-5p (#2284, z=-1.255)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Herpes simplex infection","enriched",0.1698028,19,"hsa-miR-223-3p (#173, z=1.353); hsa-miR-887-3p (#235, z=1.118); hsa-miR-450a-5p (#248, z=1.079); hsa-miR-935 (#336, z=0.863); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-21-5p (#539, z=0.500); hsa-miR-146a-5p (#596, z=0.439); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-98-5p (#663, z=0.300); hsa-miR-152-3p (#766, z=0.155); hsa-miR-451a (#785, z=0.116); hsa-miR-155-5p (#1809, z=-0.181); hsa-miR-30c-5p (#1820, z=-0.203); hsa-miR-107 (#1839, z=-0.232); hsa-miR-139-5p (#1923, z=-0.388); hsa-miR-30d-5p (#1941, z=-0.419); hsa-miR-381-5p (#2338, z=-1.594); hsa-miR-15b-5p (#2346, z=-1.673)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Toll-like receptor signaling pathway","enriched",0.1736762,29,"hsa-miR-146b-5p (#130, z=1.530); hsa-miR-196b-5p (#140, z=1.484); hsa-miR-223-3p (#173, z=1.353); hsa-miR-887-3p (#235, z=1.118); hsa-miR-29b-3p (#267, z=1.047); hsa-miR-29a-3p (#278, z=0.999); hsa-miR-365a-3p (#370, z=0.748); hsa-miR-542-3p (#405, z=0.718); hsa-miR-125a-5p (#412, z=0.706); hsa-miR-7-5p (#441, z=0.642); hsa-miR-550a-3p (#522, z=0.539); hsa-miR-21-5p (#539, z=0.500); hsa-miR-146a-5p (#596, z=0.439); hsa-miR-203a-3p (#646, z=0.346); hsa-miR-34a-5p (#658, z=0.315); hsa-miR-451a (#785, z=0.116); hsa-miR-503-5p (#939, z=0.007); hsa-miR-3134 (#1311, z=0.004); hsa-miR-708-5p (#1707, z=-0.006); hsa-miR-9-3p (#1712, z=-0.018); hsa-miR-625-3p (#1781, z=-0.123); hsa-miR-155-5p (#1809, z=-0.181); hsa-miR-126-3p (#1855, z=-0.264); hsa-miR-143-3p (#1887, z=-0.314); hsa-miR-139-5p (#1923, z=-0.388); hsa-miR-145-5p (#1982, z=-0.490); hsa-miR-19a-3p (#2012, z=-0.525); hsa-miR-668-3p (#2195, z=-0.968); hsa-miR-381-5p (#2338, z=-1.594)"
