Category	Subcategory	Enrichment	P-value	P-adjusted	Q-value	Observed	miRNAs/precursors	database	cluster	cluster_rep	reduction_method
KEGG (miRPathDB)	Adherens junction	depleted	1.10413e-07	2.24728971162791e-05	2.24728971162791e-05	71	hsa-miR-585-3p; hsa-miR-193a-3p; hsa-miR-5701; hsa-miR-182-5p; hsa-miR-450a-2-3p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-93-3p; hsa-miR-193b-3p; hsa-miR-542-5p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-144-5p; hsa-miR-34a-5p; hsa-miR-1268b; hsa-miR-148a-3p; hsa-miR-9-3p; hsa-miR-597-5p; hsa-miR-1-3p; hsa-miR-6885-5p; hsa-miR-4508; hsa-miR-19a-3p; hsa-miR-652-3p; hsa-miR-133b; hsa-miR-4260; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-449a; hsa-miR-34a-3p; hsa-miR-204-5p; hsa-miR-550a-3p; hsa-miR-133a-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-224-5p; hsa-miR-875-5p; hsa-miR-125a-5p; hsa-miR-150-3p; hsa-miR-181a-5p; hsa-miR-486-5p; hsa-miR-27b-3p; hsa-miR-1268a; hsa-miR-142-5p; hsa-miR-140-5p; hsa-miR-409-3p; hsa-miR-194-5p; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-592; hsa-miR-143-3p; hsa-miR-205-5p; hsa-miR-128-3p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-3158-3p; hsa-miR-7106-3p; hsa-miR-885-5p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-miR-214-3p; hsa-miR-101-3p; hsa-miR-33a-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-218-5p; hsa-miR-34c-3p; hsa-miR-124-3p; hsa-miR-323a-3p; hsa-miR-31-5p	KEGG	2	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Alcoholism	enriched	0.0210348	0.12208	0.12208	36	hsa-miR-196b-5p; hsa-miR-585-3p; hsa-miR-6748-5p; hsa-let-7c-3p; hsa-miR-363-5p; hsa-miR-6766-5p; hsa-miR-6786-3p; hsa-miR-100-5p; hsa-miR-6728-5p; hsa-miR-219b-5p; hsa-miR-760; hsa-miR-1261; hsa-miR-98-5p; hsa-miR-22-3p; hsa-miR-34a-5p; hsa-miR-6745; hsa-miR-9-3p; hsa-miR-4758-5p; hsa-miR-1-3p; hsa-miR-1276; hsa-miR-6759-5p; hsa-miR-4483; hsa-miR-6793-5p; hsa-miR-652-3p; hsa-miR-425-3p; hsa-miR-629-5p; hsa-miR-4766-5p; hsa-miR-598-3p; hsa-miR-18b-3p; hsa-miR-4507; hsa-miR-550a-3p; hsa-miR-27a-3p; hsa-miR-27b-3p; hsa-miR-299-5p; hsa-miR-206; hsa-miR-145-5p	KEGG	2	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Aldosterone-regulated sodium reabsorption	depleted	0.200774	0.3593403	0.3593403	22	hsa-miR-585-3p; hsa-miR-4999-5p; hsa-miR-125b-5p; hsa-miR-4746-3p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-1268b; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-7-5p; hsa-miR-550a-3p; hsa-miR-126-3p; hsa-miR-1268a; hsa-miR-148b-3p; hsa-miR-200c-3p; hsa-miR-143-3p; hsa-miR-433-3p; hsa-miR-376c-3p; hsa-miR-941; hsa-miR-329-3p	KEGG	4	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Alzheimers disease	depleted	0.415348	0.4759264	0.4759264	11	hsa-miR-196b-5p; hsa-miR-3173-5p; hsa-miR-146b-3p; hsa-miR-9-3p; hsa-miR-29a-3p; hsa-miR-451a; hsa-miR-18b-3p; hsa-miR-187-3p; hsa-miR-653-5p; hsa-miR-874-3p; hsa-miR-199a-5p	KEGG	5	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Amphetamine addiction	depleted	0.0410391	0.17385	0.17385	12	hsa-miR-196b-5p; hsa-miR-542-5p; hsa-miR-185-5p; hsa-miR-211-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-449a; hsa-miR-204-5p; hsa-miR-126-3p; hsa-miR-1268a; hsa-miR-532-3p; hsa-miR-490-5p	KEGG	7	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Amyotrophic lateral sclerosis ALS	depleted	0.545301	0.5663314	0.5663314	14	hsa-miR-3622a-5p; hsa-miR-125b-5p; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-663a; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-5587-3p; hsa-miR-451a; hsa-miR-126-3p; hsa-miR-224-5p; hsa-miR-18a-5p; hsa-miR-184; hsa-miR-885-5p	KEGG	8	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Apoptosis	depleted	0.243812	0.396404	0.396404	43	hsa-miR-24-2-5p; hsa-miR-196b-5p; hsa-miR-96-5p; hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-10b-5p; hsa-miR-887-3p; hsa-miR-125b-5p; hsa-miR-223-3p; hsa-miR-708-5p; hsa-miR-155-5p; hsa-miR-22-3p; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-503-5p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-7-5p; hsa-miR-5587-3p; hsa-miR-1233-5p; hsa-miR-106a-5p; hsa-miR-151a-5p; hsa-miR-451a; hsa-miR-133b; hsa-miR-106b-5p; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-204-5p; hsa-miR-126-3p; hsa-miR-125a-5p; hsa-miR-150-3p; hsa-miR-30e-5p; hsa-miR-139-5p; hsa-miR-92a-1-5p; hsa-miR-30c-5p; hsa-miR-143-3p; hsa-miR-17-5p; hsa-miR-184; hsa-miR-494-3p; hsa-miR-376c-3p; hsa-miR-30d-5p	KEGG	16	TRUE	Jaccard_hclust_average_t0.50
KEGG (miRPathDB)	Arrhythmogenic right ventricular cardiomyopathy ARVC	enriched	0.0530394	0.1986311	0.1986311	12	hsa-miR-450a-2-3p; hsa-miR-155-5p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-891b; hsa-miR-208b-3p; hsa-miR-30a-5p; hsa-miR-3682-3p; hsa-let-7c-5p; hsa-miR-1226-3p	KEGG	3	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Bacterial invasion of epithelial cells	depleted	0.0495281	0.1917888	0.1917888	27	hsa-miR-450a-2-3p; hsa-miR-221-3p; hsa-miR-5006-5p; hsa-miR-155-5p; hsa-miR-200b-3p; hsa-miR-34a-5p; hsa-miR-33b-5p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-1-3p; hsa-miR-7-5p; hsa-miR-448; hsa-miR-133b; hsa-miR-4260; hsa-miR-126-3p; hsa-miR-224-5p; hsa-miR-543; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-34b-5p; hsa-miR-885-5p; hsa-miR-214-3p; hsa-miR-31-3p; hsa-miR-101-3p; hsa-miR-574-3p; hsa-miR-124-3p; hsa-miR-31-5p	KEGG	10	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Basal cell carcinoma	enriched	0.334032	0.4271786	0.4271786	17	hsa-miR-200b-5p; hsa-miR-125b-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-148a-3p; hsa-miR-374b-5p; hsa-miR-6740-5p; hsa-miR-891b; hsa-miR-200a-5p; hsa-miR-1246; hsa-miR-150-3p; hsa-miR-378a-3p; hsa-miR-4632-3p; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-34c-3p	KEGG	4	TRUE	Jaccard_hclust_average_t0.25
