"analysis","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Circadian entrainment","enriched",0.0325532,11,"hsa-miR-196b-5p (#7, z=2.681); hsa-miR-6821-5p (#11, z=2.568); hsa-miR-585-3p (#30, z=2.343); hsa-miR-6786-3p (#163, z=1.483); hsa-miR-219b-5p (#327, z=0.949); hsa-miR-1268b (#513, z=0.609); hsa-miR-9-3p (#565, z=0.520); hsa-miR-664a-3p (#569, z=0.512); hsa-miR-1-3p (#611, z=0.423); hsa-miR-550a-3p (#1442, z=-0.361); hsa-miR-1268a (#1572, z=-0.594)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Alcoholism","enriched",0.12208,36,"hsa-miR-196b-5p (#7, z=2.681); hsa-miR-585-3p (#30, z=2.343); hsa-miR-6748-5p (#31, z=2.343); hsa-let-7c-3p (#97, z=1.807); hsa-miR-363-5p (#127, z=1.672); hsa-miR-6766-5p (#155, z=1.530); hsa-miR-6786-3p (#163, z=1.483); hsa-miR-100-5p (#217, z=1.292); hsa-miR-6728-5p (#310, z=1.025); hsa-miR-219b-5p (#327, z=0.949); hsa-miR-760 (#339, z=0.906); hsa-miR-1261 (#415, z=0.768); hsa-miR-98-5p (#421, z=0.749); hsa-miR-22-3p (#434, z=0.717); hsa-miR-34a-5p (#509, z=0.622); hsa-miR-6745 (#551, z=0.555); hsa-miR-9-3p (#565, z=0.520); hsa-miR-4758-5p (#606, z=0.433); hsa-miR-1-3p (#611, z=0.423); hsa-miR-1276 (#626, z=0.381); hsa-miR-6759-5p (#794, z=0.238); hsa-miR-4483 (#1141, z=-0.002); hsa-miR-6793-5p (#1202, z=-0.003); hsa-miR-652-3p (#1242, z=-0.004); hsa-miR-425-3p (#1246, z=-0.015); hsa-miR-629-5p (#1267, z=-0.054); hsa-miR-4766-5p (#1362, z=-0.215); hsa-miR-598-3p (#1371, z=-0.230); hsa-miR-18b-3p (#1406, z=-0.288); hsa-miR-4507 (#1413, z=-0.301); hsa-miR-550a-3p (#1442, z=-0.361); hsa-miR-27a-3p (#1461, z=-0.391); hsa-miR-27b-3p (#1533, z=-0.539); hsa-miR-299-5p (#1846, z=-1.178); hsa-miR-206 (#1898, z=-1.369); hsa-miR-145-5p (#1901, z=-1.390)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Arrhythmogenic right ventricular cardiomyopathy ARVC","enriched",0.1986311,12,"hsa-miR-450a-2-3p (#107, z=1.742); hsa-miR-155-5p (#364, z=0.875); hsa-miR-34a-5p (#509, z=0.622); hsa-miR-29b-3p (#577, z=0.479); hsa-miR-29a-3p (#610, z=0.426); hsa-miR-1-3p (#611, z=0.423); hsa-miR-891b (#684, z=0.318); hsa-miR-208b-3p (#878, z=0.078); hsa-miR-30a-5p (#886, z=0.063); hsa-miR-3682-3p (#987, z=-0.002); hsa-let-7c-5p (#1409, z=-0.295); hsa-miR-1226-3p (#1450, z=-0.378)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Systemic lupus erythematosus","enriched",0.2299654,21,"hsa-miR-6748-5p (#31, z=2.343); hsa-miR-363-5p (#127, z=1.672); hsa-miR-6766-5p (#155, z=1.530); hsa-miR-6728-5p (#310, z=1.025); hsa-miR-760 (#339, z=0.906); hsa-miR-1261 (#415, z=0.768); hsa-miR-98-5p (#421, z=0.749); hsa-miR-34a-5p (#509, z=0.622); hsa-miR-6745 (#551, z=0.555); hsa-miR-4758-5p (#606, z=0.433); hsa-miR-1276 (#626, z=0.381); hsa-miR-6759-5p (#794, z=0.238); hsa-miR-615-3p (#816, z=0.200); hsa-miR-4483 (#1141, z=-0.002); hsa-miR-6793-5p (#1202, z=-0.003); hsa-miR-652-3p (#1242, z=-0.004); hsa-miR-629-5p (#1267, z=-0.054); hsa-miR-4766-5p (#1362, z=-0.215); hsa-miR-18b-3p (#1406, z=-0.288); hsa-miR-4507 (#1413, z=-0.301); hsa-miR-299-5p (#1846, z=-1.178)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Cysteine and methionine metabolism","enriched",0.3132485,13,"hsa-miR-193b-3p (#366, z=0.868); hsa-miR-200b-3p (#433, z=0.724); hsa-miR-6732-3p (#533, z=0.555); hsa-miR-29b-3p (#577, z=0.479); hsa-miR-5585-5p (#587, z=0.455); hsa-miR-29a-3p (#610, z=0.426); hsa-miR-6740-5p (#658, z=0.351); hsa-miR-29b-1-5p (#679, z=0.325); hsa-miR-340-5p (#835, z=0.142); hsa-miR-1298-3p (#1180, z=-0.002); hsa-miR-29c-5p (#1473, z=-0.418); hsa-miR-200c-3p (#1667, z=-0.780); hsa-miR-369-5p (#1774, z=-0.965)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Melanogenesis","enriched",0.3174184,28,"hsa-miR-196b-5p (#7, z=2.681); hsa-miR-585-3p (#30, z=2.343); hsa-miR-182-5p (#73, z=1.891); hsa-let-7c-3p (#97, z=1.807); hsa-miR-6786-3p (#163, z=1.483); hsa-miR-219b-5p (#327, z=0.949); hsa-miR-935 (#377, z=0.826); hsa-miR-152-3p (#424, z=0.743); hsa-miR-200b-3p (#433, z=0.724); hsa-miR-429 (#453, z=0.678); hsa-miR-1268b (#513, z=0.609); hsa-miR-9-3p (#565, z=0.520); hsa-miR-664a-3p (#569, z=0.512); hsa-miR-1-3p (#611, z=0.423); hsa-miR-891b (#684, z=0.318); hsa-miR-19a-3p (#884, z=0.066); hsa-miR-203a-3p (#1372, z=-0.233); hsa-miR-204-5p (#1440, z=-0.355); hsa-miR-224-5p (#1477, z=-0.425); hsa-miR-1246 (#1479, z=-0.429); hsa-miR-181a-5p (#1519, z=-0.505); hsa-miR-1268a (#1572, z=-0.594); hsa-miR-4632-3p (#1632, z=-0.711); hsa-miR-199a-5p (#1643, z=-0.725); hsa-miR-200c-3p (#1667, z=-0.780); hsa-miR-433-3p (#1744, z=-0.913); hsa-miR-487b-3p (#1815, z=-1.076); hsa-miR-409-5p (#1865, z=-1.241)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Tuberculosis","enriched",0.3235334,22,"hsa-miR-196b-5p (#7, z=2.681); hsa-miR-146b-5p (#137, z=1.635); hsa-miR-21-5p (#149, z=1.555); hsa-miR-125b-5p (#224, z=1.242); hsa-miR-221-3p (#229, z=1.209); hsa-miR-155-5p (#364, z=0.875); hsa-miR-135a-5p (#388, z=0.801); hsa-miR-34a-5p (#509, z=0.622); hsa-miR-185-5p (#516, z=0.601); hsa-miR-9-3p (#565, z=0.520); hsa-miR-29b-3p (#577, z=0.479); hsa-miR-7-5p (#899, z=0.036); hsa-miR-451a (#1279, z=-0.075); hsa-miR-146a-5p (#1331, z=-0.164); hsa-miR-203a-3p (#1372, z=-0.233); hsa-miR-204-5p (#1440, z=-0.355); hsa-miR-126-3p (#1446, z=-0.372); hsa-miR-125a-5p (#1481, z=-0.432); hsa-miR-668-3p (#1553, z=-0.566); hsa-miR-143-3p (#1698, z=-0.840); hsa-miR-184 (#1749, z=-0.924); hsa-miR-574-3p (#1897, z=-1.363)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Phagosome","enriched",0.3316009,13,"hsa-miR-152-3p (#424, z=0.743); hsa-miR-365a-3p (#508, z=0.622); hsa-miR-1-3p (#611, z=0.423); hsa-miR-152-5p (#821, z=0.181); hsa-miR-4471 (#845, z=0.127); hsa-miR-208b-3p (#878, z=0.078); hsa-miR-19a-3p (#884, z=0.066); hsa-miR-30a-5p (#886, z=0.063); hsa-miR-6750-5p (#964, z=-0.002); hsa-miR-30a-3p (#1237, z=-0.003); hsa-miR-146a-5p (#1331, z=-0.164); hsa-miR-1273c (#1366, z=-0.216); hsa-miR-18a-5p (#1483, z=-0.438)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Herpes simplex infection","enriched",0.3411432,19,"hsa-miR-450a-5p (#113, z=1.705); hsa-miR-21-5p (#149, z=1.555); hsa-miR-887-3p (#218, z=1.285); hsa-miR-223-3p (#281, z=1.098); hsa-miR-155-5p (#364, z=0.875); hsa-miR-935 (#377, z=0.826); hsa-miR-98-5p (#421, z=0.749); hsa-miR-152-3p (#424, z=0.743); hsa-miR-34a-5p (#509, z=0.622); hsa-miR-451a (#1279, z=-0.075); hsa-miR-146a-5p (#1331, z=-0.164); hsa-miR-203a-3p (#1372, z=-0.233); hsa-miR-125a-5p (#1481, z=-0.432); hsa-miR-139-5p (#1630, z=-0.710); hsa-miR-30c-5p (#1664, z=-0.776); hsa-miR-107 (#1702, z=-0.845); hsa-miR-15b-5p (#1762, z=-0.945); hsa-miR-381-5p (#1874, z=-1.293); hsa-miR-30d-5p (#1905, z=-1.415)"
"SurvivalRank_CoxZ","KEGG (miRPathDB)","Serotonergic synapse","enriched",0.3729034,11,"hsa-miR-6821-5p (#11, z=2.568); hsa-miR-585-3p (#30, z=2.343); hsa-miR-6786-3p (#163, z=1.483); hsa-miR-219b-5p (#327, z=0.949); hsa-miR-1268b (#513, z=0.609); hsa-miR-9-3p (#565, z=0.520); hsa-miR-424-3p (#883, z=0.066); hsa-miR-203a-3p (#1372, z=-0.233); hsa-miR-132-3p (#1571, z=-0.592); hsa-miR-1268a (#1572, z=-0.594); hsa-miR-143-3p (#1698, z=-0.840)"
